2026-05-07 20:39:24,309 | config | WARNING | Missing API keys: deepseek, claude, elevenlabs, buttondown, youtube
2026-05-07 20:39:24,327 | config | INFO | Starting mode: setup
2026-05-07 20:39:24,327 | config | INFO | ============================================================
2026-05-07 20:39:24,327 | config | INFO | SYSTEM SETUP — INITIALIZING AI MEDIA COMPANY
2026-05-07 20:39:24,327 | config | INFO | ============================================================
2026-05-07 20:39:24,328 | config | INFO |   Created: output/newsletters/
2026-05-07 20:39:24,328 | config | INFO |   Created: output/scripts/
2026-05-07 20:39:24,328 | config | INFO |   Created: output/voiceovers/
2026-05-07 20:39:24,328 | config | INFO |   Created: output/social/
2026-05-07 20:39:24,328 | config | INFO |   Created: output/thumbnails/
2026-05-07 20:39:24,331 | config | INFO |   Created: output/analytics/
2026-05-07 20:39:24,332 | config | INFO |   Created: logs/
2026-05-07 20:39:24,332 | config | WARNING |   Missing API keys: ['deepseek', 'claude', 'elevenlabs', 'buttondown', 'youtube']
2026-05-07 20:39:24,332 | config | WARNING |   Create .env from .env.example
2026-05-07 20:39:24,335 | config | INFO | Mode 'setup' completed: FAILED
2026-05-07 20:39:34,219 | config | WARNING | Missing API keys: deepseek, claude, elevenlabs, buttondown, youtube
2026-05-07 20:39:34,223 | config | INFO | Starting mode: all
2026-05-07 20:39:34,223 | config | INFO | ============================================================
2026-05-07 20:39:34,223 | config | INFO | SYSTEM SETUP — INITIALIZING AI MEDIA COMPANY
2026-05-07 20:39:34,224 | config | INFO | ============================================================
2026-05-07 20:39:34,224 | config | INFO |   Created: output/newsletters/
2026-05-07 20:39:34,224 | config | INFO |   Created: output/scripts/
2026-05-07 20:39:34,224 | config | INFO |   Created: output/voiceovers/
2026-05-07 20:39:34,224 | config | INFO |   Created: output/social/
2026-05-07 20:39:34,224 | config | INFO |   Created: output/thumbnails/
2026-05-07 20:39:34,224 | config | INFO |   Created: output/analytics/
2026-05-07 20:39:34,224 | config | INFO |   Created: logs/
2026-05-07 20:39:34,225 | config | WARNING |   Missing API keys: ['deepseek', 'claude', 'elevenlabs', 'buttondown', 'youtube']
2026-05-07 20:39:34,233 | config | WARNING |   Create .env from .env.example
2026-05-07 20:39:34,233 | config | INFO | ============================================================
2026-05-07 20:39:34,233 | config | INFO | CONTENT CURATION — FETCHING & SCORING
2026-05-07 20:39:34,233 | config | INFO | ============================================================
2026-05-07 20:39:38,534 | config | INFO | Scraping 18 feeds...
2026-05-07 20:39:52,387 | config | WARNING | Failed to parse TechCrunch: Remote end closed connection without response
2026-05-07 20:59:11,760 | config | INFO | Starting mode: all
2026-05-07 20:59:11,773 | config | INFO | ============================================================
2026-05-07 20:59:11,773 | config | INFO | SYSTEM SETUP — INITIALIZING AI MEDIA COMPANY
2026-05-07 20:59:11,773 | config | INFO | ============================================================
2026-05-07 20:59:11,774 | config | INFO |   Created: output/newsletters/
2026-05-07 20:59:11,774 | config | INFO |   Created: output/scripts/
2026-05-07 20:59:11,774 | config | INFO |   Created: output/voiceovers/
2026-05-07 20:59:11,774 | config | INFO |   Created: output/social/
2026-05-07 20:59:11,774 | config | INFO |   Created: output/thumbnails/
2026-05-07 20:59:11,774 | config | INFO |   Created: output/analytics/
2026-05-07 20:59:11,774 | config | INFO |   Created: logs/
2026-05-07 20:59:11,774 | config | INFO |   All API keys configured
2026-05-07 20:59:11,774 | config | INFO |   Directory structure ready
2026-05-07 20:59:11,774 | config | INFO |   Next: python run.py --mode fetch
2026-05-07 20:59:11,775 | config | INFO | Mode 'all' completed: SUCCESS
2026-05-07 20:59:29,276 | config | INFO | Starting mode: all
2026-05-07 20:59:29,287 | config | INFO | ============================================================
2026-05-07 20:59:29,287 | config | INFO | SYSTEM SETUP — INITIALIZING AI MEDIA COMPANY
2026-05-07 20:59:29,287 | config | INFO | ============================================================
2026-05-07 20:59:29,288 | config | INFO |   Created: output/newsletters/
2026-05-07 20:59:29,288 | config | INFO |   Created: output/scripts/
2026-05-07 20:59:29,288 | config | INFO |   Created: output/voiceovers/
2026-05-07 20:59:29,288 | config | INFO |   Created: output/social/
2026-05-07 20:59:29,288 | config | INFO |   Created: output/thumbnails/
2026-05-07 20:59:29,288 | config | INFO |   Created: output/analytics/
2026-05-07 20:59:29,289 | config | INFO |   Created: logs/
2026-05-07 20:59:29,289 | config | INFO |   All API keys configured
2026-05-07 20:59:29,289 | config | INFO |   Directory structure ready
2026-05-07 20:59:29,289 | config | INFO |   Next: python run.py --mode fetch
2026-05-07 20:59:29,290 | config | INFO | ============================================================
2026-05-07 20:59:29,290 | config | INFO | CONTENT CURATION — FETCHING & SCORING
2026-05-07 20:59:29,290 | config | INFO | ============================================================
2026-05-07 20:59:35,748 | config | INFO | Scraping 18 feeds...
2026-05-07 20:59:57,496 | config | INFO |   Retrieved 130 articles
2026-05-07 20:59:57,501 | config | INFO | Scoring with DeepSeek...
2026-05-07 21:00:09,209 | httpx | INFO | HTTP Request: POST http://127.0.0.1:8989/v1/messages "HTTP/1.1 200 OK"
2026-05-07 21:00:20,882 | config | WARNING | Scoring failed for 'How I Get Free Traffic from ChatGPT in 2025 (AIO v...': Expecting value: line 1 column 1 (char 0)
2026-05-07 21:00:22,434 | httpx | INFO | HTTP Request: POST http://127.0.0.1:8989/v1/messages "HTTP/1.1 200 OK"
2026-05-07 21:00:25,906 | config | WARNING | Scoring failed for 'Top 10 AI Tools That Will Transform Your Content C...': Expecting value: line 1 column 1 (char 0)
2026-05-07 21:00:28,005 | httpx | INFO | HTTP Request: POST http://127.0.0.1:8989/v1/messages "HTTP/1.1 200 OK"
2026-05-07 21:00:32,056 | config | WARNING | Scoring failed for 'LimeWire AI Studio Review 2023: Details, Pricing &...': Expecting value: line 1 column 1 (char 0)
2026-05-07 21:00:32,832 | httpx | INFO | HTTP Request: POST http://127.0.0.1:8989/v1/messages "HTTP/1.1 200 OK"
2026-05-07 21:00:39,576 | config | WARNING | Scoring failed for 'Top 10 AI Tools in 2023 That Will Make Your Life E...': Expecting value: line 1 column 1 (char 0)
2026-05-07 21:00:40,506 | httpx | INFO | HTTP Request: POST http://127.0.0.1:8989/v1/messages "HTTP/1.1 200 OK"
2026-05-07 21:00:44,025 | config | WARNING | Scoring failed for 'Top 10 AI Content Generator & Writer Tools in 2022...': Expecting value: line 1 column 1 (char 0)
2026-05-07 21:00:44,693 | httpx | INFO | HTTP Request: POST http://127.0.0.1:8989/v1/messages "HTTP/1.1 200 OK"
2026-05-07 21:00:50,233 | config | WARNING | Scoring failed for 'Beginner Guide to CJ Affiliate (Commission Junctio...': Expecting value: line 1 column 1 (char 0)
2026-05-07 21:00:51,864 | httpx | INFO | HTTP Request: POST http://127.0.0.1:8989/v1/messages "HTTP/1.1 200 OK"
